Ticker,Asset Name,Transaction Date,Disclosure Date,Type,Amount Range,Insider Title,Min Amount,Max Amount,Midpoint Amount
NVDA,NVIDIA Corporation,2019-10-01,10/01/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
NFLX,"Netflix, Inc.",2019-10-31,10/31/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
NFLX,"Netflix, Inc.",2019-10-01,10/01/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
AAPL,Apple Inc.,2019-10-03,10/03/2019,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5
IBM,International Business Machines Corporation,2019-10-21,10/21/2019,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5
WFC,Wells Fargo &amp; Company,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
DIS,The Walt Disney Company,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
VZ,Verizon Communications Inc.,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
TXN,Texas Instruments Incorporated,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
OXY,Occidental Petroleum Corporation,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
MPC,Marathon Petroleum Corporation,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
JNJ,Johnson &amp; Johnson,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
INTC,Intel Corporation,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
GILD,"Gilead Sciences, Inc.",2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
GIS,"General Mills, Inc.",2019-09-25,09/25/2019,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
XOM,Exxon Mobil Corporation,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
COST,Costco Wholesale Corporation,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
KO,The Coca-Cola Company,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
AAPL,Apple Inc.,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
WFC,Wells Fargo &amp; Company,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
DIS,The Walt Disney Company,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
VZ,Verizon Communications Inc.,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
USB,U.S. Bancorp,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
TXN,Texas Instruments Incorporated,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
OXY,Occidental Petroleum Corporation,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
MSFT,Microsoft Corporation,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
MPC,Marathon Petroleum Corporation,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
JNJ,Johnson &amp; Johnson,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
INTC,Intel Corporation,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
GILD,"Gilead Sciences, Inc.",2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
GIS,"General Mills, Inc.",2019-09-25,09/25/2019,SALE (FULL),"$1,001 - $15,000",Senator,1001,15000,8000.5
XOM,Exxon Mobil Corporation,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
CVS,CVS Health Corporation,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
COST,Costco Wholesale Corporation,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
KO,The Coca-Cola Company,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
BRK-B,Berkshire Hathaway Inc.,2019-09-25,09/25/2019,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5
BAC,Bank of America Corporation,2019-09-25,09/25/2019,SALE (PARTIAL),"$1,001 - $15,000",Senator,1001,15000,8000.5
