Ticker,Asset Name,Transaction Date,Disclosure Date,Type,Amount Range,Insider Title,Min Amount,Max Amount,Midpoint Amount,Stock Price at Trade,Stock Price 90D Later,Market (SPY) 90D Return,Stock 90D Return,Abnormal Alpha Return
NFLX,"Netflix, Inc.",2020-07-13,07/13/2020,PURCHASE,"$1,001 - $15,000",Senator,1001,15000,8000.5,52.54999923706055,53.944000244140625,0.10608096963920086,0.026527136580755038,-0.07955383305844582
AAPL,Apple Inc.,2020-07-06,07/06/2020,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5,90.49300384521484,109.62641906738281,0.057171675046629386,0.21143529785899265,0.15426362281236328
NVDA,NVIDIA Corporation,2020-07-06,07/06/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,9.7938814163208,13.00590705871582,0.057171675046629386,0.32796248043624554,0.27079080538961614
AAPL,Apple Inc.,2020-07-13,07/13/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,92.44400024414062,113.45782470703125,0.10608096963920086,0.2273140972631433,0.12123312762394245
AAPL,Apple Inc.,2020-07-15,07/15/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,94.6200942993164,117.46379852294922,0.09222129602096803,0.2414255068418152,0.14920421082084717
AAPL,Apple Inc.,2020-07-20,07/20/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,95.23248291015625,115.44624328613281,0.07511152468205541,0.2122569921341495,0.1371454674520941
NVDA,NVIDIA Corporation,2020-07-27,07/27/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,10.373443603515625,13.531631469726562,0.07408003195520366,0.30444932145200154,0.23036928949679789
AAPL,Apple Inc.,2020-06-26,06/26/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,85.5986099243164,104.97054290771484,0.08246950509041841,0.2263113034256805,0.14384179833526212
NFLX,"Netflix, Inc.",2020-06-26,06/26/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,44.34000015258789,47.30799865722656,0.08246950509041841,0.06693726870601839,-0.015532236384400017
NVDA,NVIDIA Corporation,2020-06-26,06/26/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,9.112784385681152,12.294740676879883,0.08246950509041841,0.34917497841806877,0.2667054733276504
AAPL,Apple Inc.,2020-06-24,06/24/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,87.15504455566406,108.45276641845703,0.09053989184182207,0.2443659110195345,0.15382601917771244
NVDA,NVIDIA Corporation,2020-06-24,06/24/2020,PURCHASE,"$15,001 - $50,000",Senator,15001,50000,32500.5,9.192913055419922,12.58323860168457,0.09053989184182207,0.36879773863038917,0.27825784678856713
AAPL,Apple Inc.,2020-06-23,06/23/2020,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5,88.72113800048828,106.77468872070312,0.052007517378122696,0.2034864647488571,0.1514789473707344
MMM,3M Company,2020-06-23,06/23/2020,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5,106.8084487915039,110.18427276611328,0.052007517378122696,0.031606338382454864,-0.020401178995667832
NFLX,"Netflix, Inc.",2020-06-03,06/03/2020,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5,42.196998596191406,55.654998779296875,0.134446630006234,0.31893264049164277,0.18448601048540877
NVDA,NVIDIA Corporation,2020-06-12,06/12/2020,PURCHASE,"$50,001 - $100,000",Senator,50001,100000,75000.5,8.891311645507812,12.258646965026855,0.10239395311352201,0.3787219989325572,0.2763280458190352
NVDA,NVIDIA Corporation,2020-05-26,05/26/2020,PURCHASE,"$100,001 - $250,000",Senator,100001,250000,175000.5,8.673592567443848,12.661595344543457,0.15162842977413987,0.459786731517514,0.3081583017433741
